date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:57	46676/46676	---M--	200	added ('OK')	application/javascript	etag:%22cbcaa190b19f7d07d35120738024b72c%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/packages/time-slot-picker.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/packages/time-slot-picker.js	(from https://www.ihateironing.com/)
18:26:57	64024/64024	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:58%20GMT	https://www.ihateironing.com/services/shoe-repairs/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/shoe-repairs/index.html	(from https://www.ihateironing.com/)
18:26:57	72883/72883	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:58%20GMT	https://www.ihateironing.com/services/laundry/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/laundry/index.html	(from https://www.ihateironing.com/)
18:26:57	50427/50427	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:58%20GMT	https://www.ihateironing.com/services/trainer-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/trainer-cleaning/index.html	(from https://www.ihateironing.com/)
18:26:57	52215/52215	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:59%20GMT	https://www.ihateironing.com/services/wedding-dress-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/wedding-dress-cleaning/index.html	(from https://www.ihateironing.com/)
18:26:58	71124/71124	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:59%20GMT	https://www.ihateironing.com/services/alterations/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/alterations/index.html	(from https://www.ihateironing.com/)
18:26:58	20047/20047	---M--	200	added ('OK')	application/javascript	etag:%221cea2eea8dd2ed10939649de36ad5964%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/orders/js/order-form.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/orders/js/order-form.js	(from https://www.ihateironing.com/)
18:26:58	52083/52083	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:59%20GMT	https://www.ihateironing.com/services/leather-fur-and-suede/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/leather-fur-and-suede/index.html	(from https://www.ihateironing.com/)
18:26:58	50337/50337	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:00%20GMT	https://www.ihateironing.com/services/specialist-items/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/specialist-items/index.html	(from https://www.ihateironing.com/)
18:26:58	78439/78439	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:00%20GMT	https://www.ihateironing.com/services/ironing/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/ironing/index.html	(from https://www.ihateironing.com/)
